Freq_cm_merged_15K,ep1,ep2
12542.40845,2.736316239,0.281654928
12722.00399,2.832548787,0.247594788
12830.98429,2.881518775,0.245544864
13014.61341,2.927675277,0.156579786
13051.74037,2.983592301,0.158345625
13314.02686,3.046223746,0.201316879
13466.30347,3.107733804,0.194457636
13659.07316,3.168329523,0.197481276
13854.60933,3.23193815,0.210241534
14213.57925,3.306699964,0.229775374
14458.07168,3.369922662,0.251726851
14959.63992,3.440705346,0.302565303
15173.73305,3.472782883,0.32359603
15303.6692,3.494016927,0.359321298
15478.48315,3.45617959,0.304775772
15522.62316,3.506677455,0.31203326
15789.44156,3.470296814,0.357959419
15924.64212,3.496768684,0.345003155
16244.58835,3.548020019,0.249878394
16290.92951,3.607147487,0.256980366
16618.29363,3.646442789,0.404994874
17097.20345,3.634942528,0.456269763
17391.21902,3.664966941,0.468202089
17640.10249,3.691801115,0.493349528
17943.44508,3.712340287,0.526181059
18252.02243,3.738333313,0.568193006
18671.68232,3.749621856,0.628513582
18938.86165,3.755883787,0.674103936
19429.36727,3.730071514,0.745479933
19819.6378,3.698873091,0.82242017
19989.16615,3.648340672,0.818543592
20565.20816,3.639787023,0.828138401
20978.17741,3.595707711,0.819973116
21521.53272,3.610540693,0.815760598
22016.35575,3.617849361,0.857382599
22458.48812,3.575636441,0.863697812
22974.78404,3.5800096,0.854385863
23303.54966,3.595462728,0.877098847
23569.85342,3.579498108,0.882987055
23975.14093,3.591477492,0.903365872
24456.69604,3.572086149,0.92442852
25018.91593,3.561353138,0.936679702
25960.25497,3.554533176,0.958033932
26860.60397,3.557710354,0.968689839
27556.43118,3.589108624,1.001401236
28512.29682,3.601668048,1.082192704
29753.75038,3.564382344,1.191661491
30960.98226,3.486587038,1.266982116
31943.6718,3.422183035,1.281308334
33145.48849,3.399742162,1.291149865
34197.84144,3.412614902,1.323754865
34884.98982,3.42952689,1.380932845
35585.90937,3.417058882,1.45822591
36300.85702,3.375688788,1.544831398
37346.94577,3.26643075,1.635705023
38096.98545,3.178580376,1.675142024
38821,3.093914447,1.699397833
39042.11006,3.066203152,1.70198375
39263.22011,3.041333009,1.702545942
39484.33017,3.017697861,1.702308454
39705.44022,2.995102743,1.701437344
39926.55028,2.973416264,1.700044704
40147.66033,2.952542096,1.698213145
40368.77039,2.932404844,1.696005875
40589.88044,2.91294387,1.693473488
40810.9905,2.894108475,1.69065766
41032.10055,2.875855321,1.687592799
41253.21061,2.8581472,1.684308364
41474.32066,2.840951223,1.680829686
41695.43072,2.824238104,1.677178711
41916.54077,2.807981632,1.673374349
42137.65083,2.792158327,1.669433658
42358.76088,2.77674655,1.665371412
42579.87094,2.761726752,1.661200971
42800.98099,2.747080832,1.656934116
43022.09105,2.732792179,1.652581632
43243.2011,2.718845245,1.648152976
43464.31116,2.705225775,1.643656828
43685.42121,2.691920354,1.639101052
43906.53127,2.678916469,1.634492642
44127.64132,2.666202481,1.629838172
44348.75138,2.653767316,1.625143422
44569.86143,2.64160069,1.620413843
44790.97149,2.629692822,1.615654213
45012.08154,2.618034592,1.610869225
45233.1916,2.606617125,1.60606289
45454.30165,2.595432208,1.601238977
45675.41171,2.584472042,1.59640084
45896.52176,2.573729283,1.591551846
46117.63182,2.563196729,1.586694852
46338.74187,2.552867711,1.581832519
46559.85193,2.542735819,1.576967441
46780.96198,2.532794862,1.572101781
47002.07204,2.523039043,1.56723775
47223.18209,2.51346276,1.562377065
47444.29215,2.504060826,1.557521845
47665.4022,2.494827886,1.552673571
